filename,time,position,hotel_name,price,rating,is_ad,participant_id,device_model,android_version,screen_width,screen_height
1763635965010_462.jpg,2025-11-20T11:52:45.010000,1,The Pacific House,301.0,8.3,False,c19c02da-47fa-4c0a-8ee1-acde0de0b4a2,Xiaomi 23113RKC6C,36 (VANILLA_ICE_CREAM) 16,1440,3200
1763635965010_462.jpg,2025-11-20T11:52:45.010000,2,InterContinental Sydney Coogee Beach by IHG,1022.0,8.3,True,c19c02da-47fa-4c0a-8ee1-acde0de0b4a2,Xiaomi 23113RKC6C,36 (VANILLA_ICE_CREAM) 16,1440,3200
1763635965010_462.jpg,2025-11-20T11:52:45.010000,3,Little National Hotel Sydney,527.0,9.1,False,c19c02da-47fa-4c0a-8ee1-acde0de0b4a2,Xiaomi 23113RKC6C,36 (VANILLA_ICE_CREAM) 16,1440,3200
1763636032827_463.jpg,2025-11-20T11:53:52.827000,1,Vibe Hotel North Sydney,426.0,8.1,False,160b7ccf-7007-4014-b322-9266b2cbf044,samsung SM-A326B,31 (S) 12,720,1457
1763636032827_463.jpg,2025-11-20T11:53:52.827000,2,InterContinental Sydney Coogee Beach by IHG,1022.0,8.3,True,160b7ccf-7007-4014-b322-9266b2cbf044,samsung SM-A326B,31 (S) 12,720,1457
1763636032827_463.jpg,2025-11-20T11:53:52.827000,3,Little National Hotel Sydney,527.0,9.1,False,160b7ccf-7007-4014-b322-9266b2cbf044,samsung SM-A326B,31 (S) 12,720,1457
1763636109452_464.jpg,2025-11-20T11:55:09.452000,1,Little National Hotel Sydney,527.0,9.1,False,0e37ec0f-78f2-48f2-ab07-14f8ffd9b642,CROSSCALL Trekker-X4,28 (P) 9,1080,1798
1763636109452_464.jpg,2025-11-20T11:55:09.452000,2,InterContinental Sydney Coogee Beach by IHG,1022.0,8.3,True,0e37ec0f-78f2-48f2-ab07-14f8ffd9b642,CROSSCALL Trekker-X4,28 (P) 9,1080,1798
1763636109452_464.jpg,2025-11-20T11:55:09.452000,3,Falcon Lodge,,7.2,False,0e37ec0f-78f2-48f2-ab07-14f8ffd9b642,CROSSCALL Trekker-X4,28 (P) 9,1080,1798
1763642841706_470.jpg,2025-11-20T13:47:21.706000,1,Little National Hotel Sydney,527.0,9.1,False,0e9b1129-036c-45d9-aa1a-dca2a03a99ae,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400
1763642841706_470.jpg,2025-11-20T13:47:21.706000,2,Falcon Lodge,143.0,7.2,False,0e9b1129-036c-45d9-aa1a-dca2a03a99ae,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400
1763642841706_470.jpg,2025-11-20T13:47:21.706000,3,The Pacific House,301.0,8.3,False,0e9b1129-036c-45d9-aa1a-dca2a03a99ae,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400
1763655297336_471.jpg,2025-11-20T17:14:57.336000,1,,527.0,,False,ec18e38e-cea3-4817-abf5-6a89e56b8d54,samsung SM-G970F,31 (S) 12,1080,2020
1763655297336_471.jpg,2025-11-20T17:14:57.336000,2,Rydges Camperdown,621.0,7.8,True,ec18e38e-cea3-4817-abf5-6a89e56b8d54,samsung SM-G970F,31 (S) 12,1080,2020
1763655297336_471.jpg,2025-11-20T17:14:57.336000,3,Falcon Lodge,143.0,7.2,False,ec18e38e-cea3-4817-abf5-6a89e56b8d54,samsung SM-G970F,31 (S) 12,1080,2020
1763718163984_472.jpg,2025-11-21T10:42:43.984000,1,Little National Hotel Sydney,529.0,9.1,False,0e9b1129-036c-45d9-aa1a-dca2a03a99ae,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400
1763718163984_472.jpg,2025-11-21T10:42:43.984000,2,Kimpton Margot Sydney by IHG,1100.0,9.1,True,0e9b1129-036c-45d9-aa1a-dca2a03a99ae,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400
1763718163984_472.jpg,2025-11-21T10:42:43.984000,3,Falcon Lodge,141.0,7.2,False,0e9b1129-036c-45d9-aa1a-dca2a03a99ae,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400
