filename,time,participant_id,device_model,android_version,screen_width,screen_height,rank,product_name,price,rating,review_count
1763719932802_473.jpg,2025-11-21T11:12:12.802000,160b7ccf-7007-4014-b322-9266b2cbf044,samsung SM-A326B,31 (S) 12,720,1457,1,"Nintendo Switch (OLED) Portable Game Console 17.8 cm (7"") 64 GB Touchscreen WiFi White",354.95,4.6,3300
1763719932802_473.jpg,2025-11-21T11:12:12.802000,160b7ccf-7007-4014-b322-9266b2cbf044,samsung SM-A326B,31 (S) 12,720,1457,2,Nintendo Switch 2 + Mario Kart World,454.9,4.6,2200
1763719932802_473.jpg,2025-11-21T11:12:12.802000,160b7ccf-7007-4014-b322-9266b2cbf044,samsung SM-A326B,31 (S) 12,720,1457,3,,,,
1763719932802_473.jpg,2025-11-21T11:12:12.802000,160b7ccf-7007-4014-b322-9266b2cbf044,samsung SM-A326B,31 (S) 12,720,1457,4,,,,
1763719975517_474.jpg,2025-11-21T11:12:55.517000,0e37ec0f-78f2-48f2-ab07-14f8ffd9b642,CROSSCALL Trekker-X4,28 (P) 9,1080,1798,1,Nintendo Switch 2 + Mario Kart World,454.9,4.6,2200
1763719975517_474.jpg,2025-11-21T11:12:55.517000,0e37ec0f-78f2-48f2-ab07-14f8ffd9b642,CROSSCALL Trekker-X4,28 (P) 9,1080,1798,2,Console Nintendo Switch Lite Bleu,196.09,4.7,1800
1763719975517_474.jpg,2025-11-21T11:12:55.517000,0e37ec0f-78f2-48f2-ab07-14f8ffd9b642,CROSSCALL Trekker-X4,28 (P) 9,1080,1798,3,Rayman Legends,,,
1763719975517_474.jpg,2025-11-21T11:12:55.517000,0e37ec0f-78f2-48f2-ab07-14f8ffd9b642,CROSSCALL Trekker-X4,28 (P) 9,1080,1798,4,Assassin's Creed The Ezio Collection,,,
1763720484071_478.jpg,2025-11-21T11:21:24.071000,c19c02da-47fa-4c0a-8ee1-acde0de0b4a2,Xiaomi 23113RKC6C,36 (VANILLA_ICE_CREAM) 16,1440,3200,1,"Nintendo Switch (OLED) Portable Game Console 17.8 cm (7"") 64 GB Touchscreen WiFi White",354.95,4.6,3300
1763720484071_478.jpg,2025-11-21T11:21:24.071000,c19c02da-47fa-4c0a-8ee1-acde0de0b4a2,Xiaomi 23113RKC6C,36 (VANILLA_ICE_CREAM) 16,1440,3200,2,Nintendo Switch 2 + Mario Kart World,454.9,4.6,2200
1763720484071_478.jpg,2025-11-21T11:21:24.071000,c19c02da-47fa-4c0a-8ee1-acde0de0b4a2,Xiaomi 23113RKC6C,36 (VANILLA_ICE_CREAM) 16,1440,3200,3,Rayman Legends Definitive Edition,,,
1763720484071_478.jpg,2025-11-21T11:21:24.071000,c19c02da-47fa-4c0a-8ee1-acde0de0b4a2,Xiaomi 23113RKC6C,36 (VANILLA_ICE_CREAM) 16,1440,3200,4,Assassin's Creed The Ezio Collection,,,
1763723490332_504.jpg,2025-11-21T12:11:30.332000,0e9b1129-036c-45d9-aa1a-dca2a03a99ae,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400,1,Nintendo Switch 2 + Mario Kart World,454.9,4.6,2200
1763723490332_504.jpg,2025-11-21T12:11:30.332000,0e9b1129-036c-45d9-aa1a-dca2a03a99ae,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400,2,Nintendo Switch Lite Azul,196.09,4.7,1800
1763723490332_504.jpg,2025-11-21T12:11:30.332000,0e9b1129-036c-45d9-aa1a-dca2a03a99ae,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400,3,Rayman Legends - Definitive Edition pour Nintendo Switch,,4.7,1900
1763723490332_504.jpg,2025-11-21T12:11:30.332000,0e9b1129-036c-45d9-aa1a-dca2a03a99ae,Google Pixel 8a,36 (VANILLA_ICE_CREAM) 16,1080,2400,4,UBI SOFT FRANCE Assassin's Creed The Ezio Collection,,4.5,467
1763809196232_508.jpg,2025-11-22T11:59:56.232000,160b7ccf-7007-4014-b322-9266b2cbf044,samsung SM-A326B,31 (S) 12,720,1457,1,"Nintendo Switch (OLED) Portable Game Console 17.8 cm (7"") 64 GB Touchscreen WiFi White",354.95,4.6,3300
1763809196232_508.jpg,2025-11-22T11:59:56.232000,160b7ccf-7007-4014-b322-9266b2cbf044,samsung SM-A326B,31 (S) 12,720,1457,2,Nintendo Switch 2 + Mario Kart World,454.9,4.6,2300
